Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",5640268,https://open.spotify.com/track/31c9IHwCIONmUYW0jL7Riz
2,"Shape of You","Ed Sheeran",5383221,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,DNA.,"Kendrick Lamar",4120953,https://open.spotify.com/track/4cGeMgLcykDLAazHFpbZbU
4,"Something Just Like This","The Chainsmokers",3738438,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"It Ain't Me (with Selena Gomez)",Kygo,3423936,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Mask Off",Future,3193285,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
7,Passionfruit,Drake,3112997,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
8,"That's What I Like","Bruno Mars",3071106,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",3043728,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
10,"Stay (with Alessia Cara)",Zedd,3028472,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,ELEMENT.,"Kendrick Lamar",2964650,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
12,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2814427,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
13,Symphony,"Clean Bandit",2761489,https://open.spotify.com/track/4SPLWgCPoKwULz2UTM8TKg
14,Paris,"The Chainsmokers",2570144,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
15,"LOVE. FEAT. ZACARI.","Kendrick Lamar",2493540,https://open.spotify.com/track/5WkPWduQVV8fh7pppm1fqg
16,"Galway Girl","Ed Sheeran",2428718,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
17,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2336152,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
18,"Despacito - Remix","Luis Fonsi",2315907,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
19,YAH.,"Kendrick Lamar",2265078,https://open.spotify.com/track/22uyC54d6XAPRTlc6IchaP
20,"XXX. FEAT. U2.","Kendrick Lamar",2242488,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
21,Issues,"Julia Michaels",2212407,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,FEEL.,"Kendrick Lamar",2195515,https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF
23,"Sign of the Times","Harry Styles",2191561,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
24,Slide,"Calvin Harris",2169511,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
25,"Scared to Be Lonely","Martin Garrix",2161159,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
26,PRIDE.,"Kendrick Lamar",2111039,https://open.spotify.com/track/5AL46kwqlBX7qWP3qUppJe
27,LUST.,"Kendrick Lamar",1974947,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
28,"iSpy (feat. Lil Yachty)",Kyle,1832261,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
29,"XO TOUR Llif3","Lil Uzi Vert",1826175,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
30,"You Don't Know Me","Jax Jones",1788966,https://open.spotify.com/track/2SZy40PLDk3vFucXUGFCFA
31,Cold,"Maroon 5",1770630,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
32,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1769373,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
33,Believer,"Imagine Dragons",1764380,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
